,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pool_size_2_max_pooling_layers,param_pool_size_1_max_pooling_layers,param_n_neurons_3_dense_layers,param_n_filters_2_conv_layers,param_n_filters_1_conv_layers,param_n_3_dense_layers,param_n_2_max_pooling_layers,param_n_2_conv_layers,param_n_1_max_pooling_layers,param_n_1_conv_layers,param_learningrate,param_l2,param_l1,param_kernel_size_2_conv_layers,param_kernel_size_1_conv_layers,param_dropout,param_decay,param_activation_f_layer,param_activation_3_dense_layers,param_activation_2_conv_layers,param_activation_1_conv_layers,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,2.1009041468302407,0.02885948301901994,0.15120855967203775,0.006535298502029612,3,2,128,16,128,2,1,2,0,1,0.1,0.0001,0.0001,4,6,0,1e-06,sigmoid,relu,sigmoid,sigmoid,"{'pool_size_2_max_pooling_layers': 3, 'pool_size_1_max_pooling_layers': 2, 'n_neurons_3_dense_layers': 128, 'n_filters_2_conv_layers': 16, 'n_filters_1_conv_layers': 128, 'n_3_dense_layers': 2, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 2, 'n_1_max_pooling_layers': 0, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 4, 'kernel_size_1_conv_layers': 6, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'relu', 'activation_2_conv_layers': 'sigmoid', 'activation_1_conv_layers': 'sigmoid'}",0.5,0.5,0.5,0.5,0.0,92
1,1.9096400737762451,0.04032104144507182,0.14232277870178223,0.005147853500054973,3,3,32,32,256,2,1,1,0,1,0.1,0.0001,0.0001,4,8,0,1e-06,sigmoid,relu,sigmoid,relu,"{'pool_size_2_max_pooling_layers': 3, 'pool_size_1_max_pooling_layers': 3, 'n_neurons_3_dense_layers': 32, 'n_filters_2_conv_layers': 32, 'n_filters_1_conv_layers': 256, 'n_3_dense_layers': 2, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 1, 'n_1_max_pooling_layers': 0, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 4, 'kernel_size_1_conv_layers': 8, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'relu', 'activation_2_conv_layers': 'sigmoid', 'activation_1_conv_layers': 'relu'}",0.5,0.8335214546719532,0.614365333159858,0.649295595943937,0.13838167659351325,29
2,2.3817532857259116,0.28868082856707084,0.15554428100585938,0.007441724831925617,3,2,64,16,64,3,1,2,0,1,0.1,0.0001,0.0001,2,7,0,1e-06,sigmoid,relu,sigmoid,relu,"{'pool_size_2_max_pooling_layers': 3, 'pool_size_1_max_pooling_layers': 2, 'n_neurons_3_dense_layers': 64, 'n_filters_2_conv_layers': 16, 'n_filters_1_conv_layers': 64, 'n_3_dense_layers': 3, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 2, 'n_1_max_pooling_layers': 0, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 2, 'kernel_size_1_conv_layers': 7, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'relu', 'activation_2_conv_layers': 'sigmoid', 'activation_1_conv_layers': 'relu'}",0.5,0.5,0.5,0.5,0.0,92
3,2.0646018187204995,0.04450715323135151,0.14870166778564453,0.0032409665312171246,3,3,64,16,256,2,1,2,0,1,0.1,0.0001,0.0001,4,6,0,1e-06,sigmoid,relu,sigmoid,relu,"{'pool_size_2_max_pooling_layers': 3, 'pool_size_1_max_pooling_layers': 3, 'n_neurons_3_dense_layers': 64, 'n_filters_2_conv_layers': 16, 'n_filters_1_conv_layers': 256, 'n_3_dense_layers': 2, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 2, 'n_1_max_pooling_layers': 0, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 4, 'kernel_size_1_conv_layers': 6, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'relu', 'activation_2_conv_layers': 'sigmoid', 'activation_1_conv_layers': 'relu'}",0.5,0.5,0.5,0.5,0.0,92
4,1.6291693051656086,0.008667236427411833,0.11844031016031902,0.0026704536989300342,3,3,64,32,64,1,1,1,0,1,0.1,0.0001,0.0001,2,8,0,1e-06,sigmoid,sigmoid,relu,sigmoid,"{'pool_size_2_max_pooling_layers': 3, 'pool_size_1_max_pooling_layers': 3, 'n_neurons_3_dense_layers': 64, 'n_filters_2_conv_layers': 32, 'n_filters_1_conv_layers': 64, 'n_3_dense_layers': 1, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 1, 'n_1_max_pooling_layers': 0, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 2, 'kernel_size_1_conv_layers': 8, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'sigmoid', 'activation_2_conv_layers': 'relu', 'activation_1_conv_layers': 'sigmoid'}",0.2865779442847982,0.5854701750333972,0.5,0.4573493731060651,0.1256939361605607,192
5,2.096355756123861,0.2701857194582842,0.13435848553975424,0.008551129218819457,2,3,16,16,256,1,1,1,0,1,0.1,0.0001,0.0001,4,8,0,1e-06,sigmoid,relu,sigmoid,relu,"{'pool_size_2_max_pooling_layers': 2, 'pool_size_1_max_pooling_layers': 3, 'n_neurons_3_dense_layers': 16, 'n_filters_2_conv_layers': 16, 'n_filters_1_conv_layers': 256, 'n_3_dense_layers': 1, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 1, 'n_1_max_pooling_layers': 0, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 4, 'kernel_size_1_conv_layers': 8, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'relu', 'activation_2_conv_layers': 'sigmoid', 'activation_1_conv_layers': 'relu'}",0.5,0.5,0.5,0.5,0.0,92
6,1.911768118540446,0.056089419922308106,0.14211352666219076,0.00573021801323608,3,2,16,16,128,1,1,2,0,1,0.1,0.0001,0.0001,3,7,0,1e-06,sigmoid,sigmoid,relu,relu,"{'pool_size_2_max_pooling_layers': 3, 'pool_size_1_max_pooling_layers': 2, 'n_neurons_3_dense_layers': 16, 'n_filters_2_conv_layers': 16, 'n_filters_1_conv_layers': 128, 'n_3_dense_layers': 1, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 2, 'n_1_max_pooling_layers': 0, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 3, 'kernel_size_1_conv_layers': 7, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'sigmoid', 'activation_2_conv_layers': 'relu', 'activation_1_conv_layers': 'relu'}",0.7096727498085943,0.5,0.6507512942976919,0.6201413480354286,0.08829266526995441,47
7,1.840694506963094,0.02248679705060286,0.14194289843241373,0.003407629792086758,2,3,32,32,128,1,1,2,1,1,0.1,0.0001,0.0001,3,6,0,1e-06,sigmoid,relu,relu,relu,"{'pool_size_2_max_pooling_layers': 2, 'pool_size_1_max_pooling_layers': 3, 'n_neurons_3_dense_layers': 32, 'n_filters_2_conv_layers': 32, 'n_filters_1_conv_layers': 128, 'n_3_dense_layers': 1, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 2, 'n_1_max_pooling_layers': 1, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 3, 'kernel_size_1_conv_layers': 6, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'relu', 'activation_2_conv_layers': 'relu', 'activation_1_conv_layers': 'relu'}",0.9044263084862034,0.9203302210265337,0.8694787816530529,0.8980784370552634,0.02123972418789075,10
8,2.2120602130889893,0.2714009746691306,0.15164637565612793,0.003307864154842213,3,2,64,32,64,2,1,2,1,1,0.1,0.0001,0.0001,4,6,0,1e-06,sigmoid,relu,relu,sigmoid,"{'pool_size_2_max_pooling_layers': 3, 'pool_size_1_max_pooling_layers': 2, 'n_neurons_3_dense_layers': 64, 'n_filters_2_conv_layers': 32, 'n_filters_1_conv_layers': 64, 'n_3_dense_layers': 2, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 2, 'n_1_max_pooling_layers': 1, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 4, 'kernel_size_1_conv_layers': 6, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'relu', 'activation_2_conv_layers': 'relu', 'activation_1_conv_layers': 'sigmoid'}",0.5,0.5,0.5,0.5,0.0,92
9,2.036445379257202,0.038779209066008846,0.1510333220163981,0.006408010615665654,2,2,32,32,128,2,1,2,1,1,0.1,0.0001,0.0001,2,6,0,1e-06,sigmoid,sigmoid,relu,sigmoid,"{'pool_size_2_max_pooling_layers': 2, 'pool_size_1_max_pooling_layers': 2, 'n_neurons_3_dense_layers': 32, 'n_filters_2_conv_layers': 32, 'n_filters_1_conv_layers': 128, 'n_3_dense_layers': 2, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 2, 'n_1_max_pooling_layers': 1, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 2, 'kernel_size_1_conv_layers': 6, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'sigmoid', 'activation_2_conv_layers': 'relu', 'activation_1_conv_layers': 'sigmoid'}",0.4916382950691379,0.5,0.5,0.497212765023046,0.003941745505929045,180
